Name,Team,Price,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Aaron Cadman,GWS,477000,47,0,0,0,0,47,47,47,47
Aaron Francis,SYD,402000,0,0,0,0,0,0,0,0,0
Aaron Naughton,WBD,200000,0,0,0,0,0,0,0,0,0
Adam Cerra,CAR,549000,77,0,0,0,0,77,77,77,77
Adam Kennedy,GWS,445000,0,0,0,0,0,0,0,0,0
Adam Saad,CAR,418000,59,0,0,0,0,59,59,59,59
Adam Tomlinson,MEL,932000,53,0,0,0,0,53,53,53,53
Adam Treloar,WBD,637000,0,0,0,0,0,0,0,0,0
Aidan Corr,NTH,327000,0,0,0,0,0,0,0,0,0
Aiden Begg,COLL,976000,0,0,0,0,0,0,0,0,0
Aiden O'Driscoll,WBD,560000,0,0,0,0,0,0,0,0,0
Alex Cincotta,CAR,200000,0,0,0,0,0,0,0,0,0
Alex Davies,GCS,605000,0,0,0,0,0,0,0,0,0
Alex Keath,WBD,219000,0,0,0,0,0,0,0,0,0
Alex Mirkov,CAR,794000,0,0,0,0,0,0,0,0,0
Alex Neal-Bullen,MEL,598000,68,0,0,0,0,68,68,68,68
Alex Pearce,FRE,579000,0,0,0,0,0,0,0,0,0
Alex Sexton,GCS,538000,80,0,0,0,0,80,80,80,80
Alex Witherden,WCE,270000,0,0,0,0,0,0,0,0,0
Aliir Aliir,PTA,646000,0,0,0,0,0,0,0,0,0
Alwyn Davey,ESS,811000,0,0,0,0,0,0,0,0,0
Andrew Brayshaw,FRE,288000,0,0,0,0,0,0,0,0,0
Andrew Gaff,WCE,550000,0,0,0,0,0,0,0,0,0
Andrew McGrath,ESS,471000,0,0,0,0,0,0,0,0,0
Andy Moniz-Wakefield,MEL,799000,0,0,0,0,0,0,0,0,0
Angus Brayshaw,MEL,869000,0,0,0,0,0,0,0,0,0
Angus Hastie,STK,288000,0,0,0,0,0,0,0,0,0
Angus McLennan,STK,715000,0,0,0,0,0,0,0,0,0
Angus Sheldrick,SYD,542000,0,0,0,0,0,0,0,0,0
