Name,Team,Price,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Aaron Cadman,GWS,127600,55,0,0,0,0,55,55,55,55
Aaron Francis,SYD,291800,0,0,0,0,0,0,0,0,0
Aaron Naughton,WBD,419900,0,0,0,0,0,0,0,0,0
Adam Cerra,CAR,605400,92,0,0,0,0,92,92,92,92
Adam Kennedy,GWS,145800,0,0,0,0,0,0,0,0,0
Adam Saad,CAR,500700,69,0,0,0,0,69,69,69,69
Adam Tomlinson,MEL,366800,86,0,0,0,0,86,86,86,86
Adam Treloar,WBD,601800,0,0,0,0,0,0,0,0,0
Aidan Corr,NTH,388000,0,0,0,0,0,0,0,0,0
Aiden Begg,COLL,123900,0,0,0,0,0,0,0,0,0
Aiden O'Driscoll,WBD,117300,0,0,0,0,0,0,0,0,0
Alex Cincotta,CAR,308400,0,0,0,0,0,0,0,0,0
Alex Davies,GCS,324800,0,0,0,0,0,0,0,0,0
Alex Keath,WBD,304300,0,0,0,0,0,0,0,0,0
Alex Mirkov,CAR,123900,0,0,0,0,0,0,0,0,0
Alex Neal-Bullen,MEL,402600,80,0,0,0,0,80,80,80,80
Alex Pearce,FRE,328800,0,0,0,0,0,0,0,0,0
Alex Sexton,GCS,133400,73,0,0,0,0,73,73,73,73
Alex Witherden,WCE,472300,0,0,0,0,0,0,0,0,0
Aliir Aliir,PTA,416600,0,0,0,0,0,0,0,0,0
Alwyn Davey,ESS,208500,0,0,0,0,0,0,0,0,0
Andrew Brayshaw,FRE,608900,0,0,0,0,0,0,0,0,0
Andrew Gaff,WCE,398300,0,0,0,0,0,0,0,0,0
Andrew McGrath,ESS,485500,0,0,0,0,0,0,0,0,0
Andy Moniz-Wakefield,MEL,123900,0,0,0,0,0,0,0,0,0
Angus Brayshaw,MEL,502000,0,0,0,0,0,0,0,0,0
Angus Hastie,STK,117300,0,0,0,0,0,0,0,0,0
Angus McLennan,STK,123900,0,0,0,0,0,0,0,0,0
Angus Sheldrick,SYD,301800,0,0,0,0,0,0,0,0,0
Anthony Caminiti,STK,290900,0,0,0,0,0,0,0,0,0
Anthony Scott,WBD,287300,0,0,0,0,0,0,0,0,0
Archer Reid,WCE,117300,0,0,0,0,0,0,0,0,0
Archie Perkins,ESS,368900,0,0,0,0,0,0,0,0,0
Archie Roberts,ESS,117300,0,0,0,0,0,0,0,0,0
Arie Schoenmaker,STK,117300,0,0,0,0,0,0,0,0,0
Arthur Jones,WBD,190900,0,0,0,0,0,0,0,0,0
Ash Johnson,COLL,277900,12,0,0,0,0,12,12,12,12
Ashton Moir,CAR,117300,0,0,0,0,0,0,0,0,0
Bailey Banfield,FRE,314600,0,0,0,0,0,0,0,0,0
Bailey Dale,WBD,507600,0,0,0,0,0,0,0,0,0
Bailey Humphrey,GCS,331200,38,0,0,0,0,38,38,38,38
Bailey J. Williams,WCE,429800,0,0,0,0,0,0,0,0,0
Bailey Laurie,MEL,125200,20,0,0,0,0,20,20,20,20
Bailey Macdonald,HAW,174100,0,0,0,0,0,0,0,0,0
Bailey Scott,NTH,423800,0,0,0,0,0,0,0,0,0
Bailey Smith,WBD,448600,0,0,0,0,0,0,0,0,0
Bailey Williams,WBD,391500,0,0,0,0,0,0,0,0,0
Bayley Fritsch,MEL,396400,68,0,0,0,0,68,68,68,68
Beau McCreery,COLL,300500,54,0,0,0,0,54,54,54,54
Ben Ainsworth,GCS,426900,69,0,0,0,0,69,69,69,69
