fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,fixedBackgroundTeam,fixedBackgroundNumber,fixedBackgroundDraft,fixedBackgroundPick,fixedBackgroundAge,fixedBackgroundU18Champs,fixedBackgroundStateLeague,fixedPositionPosition,fixedBackgroundReserves,fixedSplitsRegularCBA,fixedSplitsRegularKICKIN,fixedSplitsH1CBA,fixedSplitsH1KICKIN,fixedSplitsH2CBA,fixedSplitsH2KICKIN,fixedSplitsLast5CBA,fixedSplitsLast5KICKIN,fixedSplitsFinalsCBA,fixedSplitsFinalsKICKIN,fixedEx50TOGCBA,fixedEx50TOGKICKIN,fixedPracticeCBA,fixedPracticeKICKIN,fixedPreseasonCBA,fixedPreseasonKICKIN,fixedBestMatches,fixedBestCBA,fixedBestTOG,fixed2023Matches,fixed2023CBA,fixed2023TOG,fixed2022Matches,fixed2022CBA,fixed2022TOG,fixed2021Matches,fixed2021CBA,fixed2021TOG,fixed2020Matches,fixed2020CBA,fixed2020TOG,fixed2019Matches,fixed2019TOG,fixed2018Matches,fixed2018TOG,fixed2017Matches,fixed2017TOG
CD_I1004592,Tim English,8,Snr,WB,44,2016 National,19,26,43.1,82 [WAFL Colts],RUC,,83.86956522,0.347826087,86.71428571,0,79.44444444,0.888888889,76.8,1.6,,,83.86956522,0.347826087,,,,,23,86.83370202,87.61111111,23,83.86956522,85.86956522,16,84.1875,84.0625,22,50.22727273,82.31818182,18,86.83370202,87.61111111,20,83.8,7,80.4,2,66
CD_I297373,Marcus Bontempelli,11,Snr,WB,4,2013 National,4,28,,,MID,,81.26086957,0.391304348,80.35714286,0.642857143,82.66666667,0,79.8,0,,,81.26086957,0.391304348,,,,,26,81.26086957,86.3,23,81.26086957,84.86956522,22,58.27272727,84.68181818,26,73.15384615,84.34615385,18,77.36502097,86.22222222,23,84,19,86.2,22,86.3
CD_I992468,Rowan Marshall,8,Snr,STK,19,2016 Rookie,10,28,,,RUC,,86.56521739,0,83.18181818,0,89.66666667,0,88.6,0,90,0,86.70833333,0,,,,,24,86.70833333,86.2,24,86.70833333,84.45833333,21,56.33333333,82.85714286,13,48.23076923,73.69230769,19,44.91310875,85.47368421,20,86.2,12,81.8,1,82.5
CD_I996701,Clayton Oliver,9,Snr,MELB,13,2015 National,4,26,,,MID,,79.61538462,0,82.9,0,68.66666667,0,68.66666667,0,93,0,81.4,0,,,,,25,86.73913043,88.44,15,81.4,83.73333333,23,86.73913043,86.47826087,25,86.28,88.44,17,77.22895924,83.47058824,22,82.5,25,82.9,22,77
CD_I992242,Jordan Dawson,9,Snr,ADEL,12,2015 National,56,26,,,MID,,69.91304348,11.04347826,62.69230769,18.30769231,79.3,1.6,77.8,0,,,69.91304348,11.04347826,,,,,23,69.91304348,90.13636364,23,69.91304348,86,22,1.909090909,90.13636364,23,0,84.60869565,16,1.704545455,84,20,81.7,4,69.2,1,59.3
CD_I992016,Zach Merrett,11,Snr,ESS,7,2013 National,26,28,,,MID,,74,1.5,70.33333333,0,78.4,3.3,80.8,0,,,74,1.5,,,,,23,80.47826087,84.31818182,22,74,84.31818182,19,67.10526316,83.10526316,23,80.47826087,82.47826087,16,56.1785982,82.4375,23,76.8,22,76.3,22,76.6
CD_I1013128,Errol Gulden,4,Snr,SYD,21,2020 National,32,21,,107 [NEAFL],MID,,34.95652174,0.695652174,32.72727273,0,37,1.333333333,47.6,0,33,0,34.875,0.666666667,,,,,25,34.875,88.16666667,24,34.875,88.16666667,25,9.92,80.68,18,5.666666667,79.88888889,,,,,,,,,
CD_I998172,Tim Taranto,8,Snr,RICH,14,2016 National,2,26,91.7,123 [NAB League],MID,,76.69565217,0,78.14285714,0,74.44444444,0,75.2,0,,,76.69565217,0,,,,,26,76.69565217,84.34782609,23,76.69565217,84.34782609,16,44.125,84.1875,24,48.375,82.25,11,55.9590507,83.72727273,26,80.8,23,83.2,14,73.6
CD_I1009528,Tom Green,5,Snr,GWS,12,2019 National,10,23,85.9,106 [NAB League],MID,,83.05263158,0,83.84615385,0,81.33333333,0,82,0,88,0,83.72727273,0,,,,,22,83.72727273,85.54545455,22,83.72727273,85.54545455,21,58.38095238,81.61904762,18,40.38888889,70.88888889,6,38.57024482,66.33333333,,,,,,
CD_I1002232,Andrew Brayshaw,7,Snr,FRE,8,2017 National,2,24,75.5,105 [NAB League],MID,,79.43478261,0,76.18181818,0,82.41666667,0,82,0,,,79.43478261,0,,,,,24,79.43478261,82.65217391,23,79.43478261,82.65217391,24,75.79166667,79.41666667,20,61.65,78.8,17,42.21884805,75.35294118,22,71,17,66.5,,
